day,Malaysia,Singapore,Indonesia,Brunei,Thailand,Philippines
522,728462,62530,2093962,259,240451,1391911
523,734048,62544,2115304,259,244447,1397992
524,739266,62553,2135998,259,249853,1403588
525,745703,62563,2156465,259,254515,1408058
526,751979,62579,2178272,260,259301,1412559
527,758967,62589,2203108,261,264834,1418337
528,765949,62599,2228938,261,270921,1424518
529,772607,62606,2256851,262,277151,1430419
530,778652,62617,2284084,262,283067,1436369
531,785039,62630,2313829,262,289233,1441746
532,792693,62640,2345018,266,294653,1445832
533,799790,62652,2379397,266,301172,1450110
534,808658,62668,2417788,266,308230,1455585
535,817838,62678,2455912,266,317506,1461455
536,827191,62684,2491006,268,326832,1467119
537,836296,62692,2527203,268,336371,1473025
538,844870,62718,2567630,277,345027,1478061
539,855949,62744,2615529,282,353712,1481660
540,867567,62804,2670046,282,363029,1485457
541,880782,62852,2726803,282,372215,1490665
542,893323,62913,2780803,282,381907,1496328
543,905851,62981,2832755,283,391989,1502359
544,916561,63073,2877476,283,403386,1507755
545,927533,63245,2911733,283,415170,1513396
546,939899,63440,2950058,305,426475,1517903
547,951884,63621,2983830,305,439477,1524449
548,964918,63791,3033339,311,453132,1530266
549,980491,63924,3082410,313,467707,1537097
550,996393,64054,3127826,321,481967,1543281
551,1013438,64179,3166505,321,497302,1548755
552,1027954,64314,3194733,333,512678,1555396
553,1044071,64453,3239936,333,526828,1562420
554,1061476,64589,3287727,333,543361,1566667
555,1078646,64722,3331206,333,561030,1572287
556,1095486,64861,3372374,336,578375,1580824
557,1113272,64981,3409658,337,597287,1588965
558,1130422,65102,3440396,337,615314,1597689
559,1146186,65213,3462800,338,633284,1605762
560,1163291,65315,3496700,338,652185,1612541
561,1183110,65410,3532567,338,672385,1619824
562,1203706,65508,3568331,339,693305,1627816
563,1224595,65605,3607863,339,714684,1638345
564,1243852,65686,3639616,339,736522,1649341
565,1262540,65764,3666031,347,756505,1658916
566,1279776,65836,3686740,406,776108,1667714
567,1299767,65836,3718821,440,795951,1676156
568,1320547,65953,3749446,494,816989,1688040
569,1342215,66012,3774155,543,839771,1700363
570,1363683,66061,3804943,598,863189,1713302
571,1384353,66119,3833541,640,885275,1727231
572,1404899,66172,3854354,723,907157,1741616
573,1424639,66225,3871738,787,928314,1755846
574,1444270,66281,3892479,852,948442,1765675
575,1466512,66334,3908247,946,968957,1776495
576,1489460,66366,3930300,946,989859,1791003
577,1513024,66406,3950304,1333,1009710,1807800
578,1535286,66443,3967048,1455,1030281,1824051
579,1555093,66478,3979456,1769,1049295,1839635
580,1572765,66576,3989060,1873,1066786,1857646
581,1593602,66692,4008166,1873,1083951,1869691
582,1616244,66812,4026837,2159,1102368,1883088
583,1640843,66928,4043736,2159,1120869,1899200
584,1662913,66928,4056354,2380,1139571,1916461
585,1685510,67171,4066404,2380,1157555,1935700
586,1706089,67171,4073831,2462,1174091,1954023
587,1725357,67459,4079267,2641,1190063,1976202
588,1746254,67620,4089801,2712,1204729,1989857
589,1765016,67800,4100138,2858,1219531,2003955
590,1786004,67991,4100138,2960,1234487,2020484
591,1805382,68210,4116890,3093,1249140,2040568
592,1824439,68469,4123617,3093,1265082,2061084
593,1844835,68660,4129020,3093,1280534,2080984
594,1862187,68901,4133433,3464,1294522,2103331
595,1880734,69233,4140634,3567,1308343,2121308
596,1900467,69582,4147365,3683,1322519,2134005
597,1919774,70039,4153355,3831,1338550,2161892
598,1940950,70612,4158731,3894,1352953,2179770
599,1960500,71167,4163732,4035,1368144,2206021
600,1979698,71687,4167511,4163,1382173,2227367
601,1995771,72294,4170088,4323,1394756,2248071
602,2011440,73131,4174216,4431,1406542,2266066
603,2030935,73938,4178164,4566,1420340,2283011
604,2049750,74848,4181309,4675,1434237,2304192
605,2067327,75783,4185144,4814,1448792,2324475
606,2082876,76792,4188529,4957,1462901,2347550
607,2097830,77804,4190763,5047,1476477,2366749
608,2112175,78721,4192695,5261,1489186,2385616
609,2127934,79899,4195958,5385,1500105,2401916
610,2142924,81356,4198678,5586,1511357,2417419
611,2156678,82860,4201559,5586,1524613,2434753
612,2171232,84510,4204116,5960,1537310,2453328
613,2185131,85953,4206253,5960,1549285,2470175
614,2198235,87892,4208013,6540,1561638,2490858
615,2209194,89539,4209403,6700,1571926,2509177
616,2220526,91775,4211460,6813,1581415,2522965
617,2232960,94043,4213414,6950,1591829,2535732
618,2245695,96521,4215104,7116,1603474,2549966
619,2257584,99430,4216728,7326,1615228,2565487
620,2268499,101786,4218142,7326,1626604,2580173
621,2277565,103843,4219284,7326,1637432,2593399
622,2285640,106318,4220206,7904,1647362,2604040
623,2294457,109804,4221610,8044,1657231,2613070
624,2303837,113381,4223094,8150,1667097,2622917
625,2313727,116864,4224487,8262,1678297,2632881
626,2323478,120454,4225871,8464,1689437,2643494
627,2332221,124157,4227038,8599,1700067,2654450
628,2339594,126966,4227932,8980,1710884,2666562
629,2346303,129229,4228552,9167,1720919,2674814
630,2353579,132205,4229813,9472,1730364,2683372
631,2361529,135395,4231046,9665,1740428,2690455
632,2369613,138327,4232099,9828,1751704,2698232
633,2377033,141772,4233014,10251,1762190,2705792
634,2384542,145120,4234011,10356,1772838,2713509
635,2390687,148178,4234758,10860,1783701,2720368
636,2396121,150731,4235384,11047,1793812,2727286
637,2401866,154725,4236287,11220,1802934,2731735
638,2407382,158587,4237201,11386,1811852,2735369
639,2413592,162026,4237834,11542,1821579,2740111
640,2420222,165663,4238594,11672,1831388,2745889
641,2426050,169261,4239396,11901,1841131,2751667
642,2431716,172644,4240019,12113,1850482,2756923
643,2436498,175818,4240479,12384,1859157,2761307
644,2442224,179095,4241090,12595,1866863,2765672
645,2448372,184419,4241809,12710,1875315,2768849
646,2454749,187851,4242532,12823,1884973,2772491
647,2460809,192099,4243215,12955,1893941,2779943
648,2466663,195211,4243835,13065,1903165,2783896
649,2471642,198374,4244358,13130,1912024,2787276
650,2476268,200844,4244761,13246,1920189,2790375
651,2481339,204340,4245373,13321,1927763,2792656
652,2486630,207975,4246174,13446,1935442,2793898
653,2492343,210978,4246802,13545,1943422,2795642
654,2497265,212745,4247320,13545,1951572,2797986
655,2501966,215780,4247721,13742,1960039,2800621
656,2506309,218333,4248165,13742,1967999,2803213
657,2510852,220803,4248409,13782,1975591,2805294
658,2517173,224200,4248843,13864,1982495,2806694
659,2522498,227681,4249323,13962,1989473,2809311
660,2528821,230077,4249758,14058,1996969,2811248
661,2535338,233176,4250157,14121,2004274,2813115
662,2541147,235480,4250516,14172,2011331,2815080
663,2546309,237203,4250855,14215,2018410,2816980
664,2551452,239272,4251076,14215,2024753,2818511
665,2556865,241341,4251423,14291,2030700,2819341
666,2563153,244815,4251945,14378,2037224,2820494
667,2569533,244815,4252345,14399,2044125,2821753
668,2575888,248587,4252705,14444,2050980,2823210
669,2581747,250518,4253098,14444,2057575,2824499
670,2586601,252188,4253412,14591,2064581,2826410
671,2591486,253649,4253598,14630,2071009,2826853
672,2597080,255431,4253992,14701,2076135,2827820
673,2602835,257510,4254443,14771,2081992,2828660
674,2608979,258785,4254815,14771,2088327,2829618
675,2614480,259875,4255268,14918,2094886,2830387
676,2619577,261636,4255672,14992,2100959,2831177
677,2623816,262383,4255936,14992,2106813,2831807
678,2627903,263486,4256112,15058,2111566,2832375
679,2632782,264725,4256409,15058,2115872,2832734
680,2638221,266049,4256687,15111,2120758,2833038
